// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
227	35.922	F#3	54	53	237	19.5	F#3	54	80	
228	36.1069	E3	52	53	238	19.625	E3	52	80	
229	36.3344	C#5	73	73	239	19.75	C#5	73	80	
230	36.3387	E4	64	54	240	19.75	E4	64	80	
231	36.3408	Eb3	51	58	241	19.75	Eb3	51	80	
232	36.5396	C#3	49	60	242	19.875	C#3	49	80	
233	36.7735	Eb5	75	77	243	20	Eb5	75	80	
234	36.7767	B2	47	58	245	20	B2	47	80	
235	36.8002	F#4	66	59	244	20	F#4	66	80	
236	36.9808	Bb2	46	64	246	20.125	Bb2	46	80	
237	37.2062	Eb5	75	92	247	20.25	Eb5	75	80	
238	37.218	B4	71	67	248	20.25	B4	71	80	
239	37.2426	B2	47	55	249	20.25	B2	47	80	
240	37.4413	C#3	49	67	250	20.375	C#3	49	80	
241	37.6325	E5	76	79	251	20.5	E5	76	80	
242	37.6347	B2	47	64	253	20.5	B2	47	80	
243	37.6368	C#5	73	78	252	20.5	C#5	73	80	
244	37.8355	A2	45	72	254	20.625	A2	45	80	
245	38.0652	F#5	78	80	255	20.75	F#5	78	80	
246	38.0705	G#2	44	72	257	20.75	G#2	44	80	
247	38.0876	Eb5	75	57	256	20.75	Eb5	75	80	
248	38.281	F#2	42	70	258	20.875	F#2	42	80	
249	38.5129	E2	40	57	261	21	E2	40	80	
250	38.5235	G#5	80	51	259	21	G#5	80	80	
251	38.5321	E5	76	43	260	21	E5	76	80	
252	38.718	A5	81	66	262	21.125	A5	81	80	
253	38.9787	G#5	80	58	263	21.25	G#5	80	80	
254	38.9851	B3	59	61	264	21.25	B3	59	80	
255	39.1859	F#5	78	57	265	21.375	F#5	78	80	
256	39.4156	E5	76	57	266	21.5	E5	76	80	
257	39.422	Bb3	58	77	267	21.5	Bb3	58	80	
258	39.6208	Eb5	75	60	268	21.625	Eb5	75	80	
259	39.8515	C#5	73	64	269	21.75	C#5	73	80	
260	39.8601	B3	59	78	270	21.75	B3	59	80	
261	40.0791	B4	71	59	271	21.875	B4	71	80	
262	40.3451	C#4	61	73	273	22	C#4	61	80	
263	40.3665	Bb4	70	61	272	22	Bb4	70	80	
264	40.7629	B4	71	41	274	22.25	B4	71	80	
265	40.7842	E3	52	51	275	22.25	E3	52	80	
266	41.015	C#5	73	47	276	22.375	C#5	73	80	
267	41.265	F#3	54	66	278	22.5	F#3	54	80	
268	41.2767	Eb3	51	57	279	22.5	Eb3	51	80	
269	41.28	Eb5	75	63	277	22.5	Eb5	75	80	
270	41.6913	G#3	56	64	282	22.75	G#3	56	80	
271	41.7052	C#5	73	60	280	22.75	C#5	73	80	
272	41.7159	E3	52	53	283	22.75	E3	52	80	
273	41.9028	Bb3	58	66	284	22.875	Bb3	58	80	
274	41.905	F#3	54	46	285	22.875	F#3	54	80	
275	42.1507	B3	59	65	288	23	B3	59	80	
276	42.1517	G#3	56	67	289	23	G#3	56	80	
277	42.156	B4	71	55	286	23	B4	71	80	
278	42.1688	Eb4	63	46	287	23	Eb4	63	80	
279	42.5994	C#4	61	69	291	23.25	C#4	61	80	
280	42.6208	E4	64	52	290	23.25	E4	64	80	
281	42.8077	Eb4	63	70	293	23.375	Eb4	63	80	
282	42.8238	F#4	66	56	292	23.375	F#4	66	80	
283	43.0609	E4	64	82	295	23.5	E4	64	80	
284	43.0748	G#4	68	63	294	23.5	G#4	68	80	
285	43.2575	C#5	73	61	296	23.625	C#5	73	80	
286	43.2778	Bb4	70	43	297	23.625	Bb4	70	80	
287	43.5	Eb4	63	81	300	23.75	Eb4	63	80	
288	43.5075	F#3	54	62	301	23.75	F#3	54	80	
289	43.5257	Eb5	75	72	298	23.75	Eb5	75	80	
290	43.9744	C#4	61	82	303	24	C#4	61	80	
291	43.9915	E3	52	68	304	24	E3	52	80	
292	44.0129	E5	76	58	302	24	E5	76	80	
293	44.2084	F#5	78	70	305	24.125	F#5	78	80	
294	44.4178	Bb4	70	63	307	24.25	Bb4	70	80	
295	44.4317	G#5	80	73	306	24.25	G#5	80	80	
296	44.6432	G#4	68	67	308	24.375	G#4	68	80	
297	44.905	Bb4	70	65	309	24.5	Bb4	70	80	
298	44.9124	F#3	54	58	310	24.5	F#3	54	80	
299	45.3409	F#5	78	63	311	24.75	F#5	78	80	
300	45.546	E5	76	66	312	24.875	E5	76	80	
301	45.796	Eb5	75	64	313	25	Eb5	75	80	
302	45.8131	B3	59	47	314	25	B3	59	80	
303	46.2127	G#4	68	53	316	25.25	G#4	68	80	
304	46.2137	B2	47	49	317	25.25	B2	47	80	
305	46.4188	G4	67	57	318	25.375	G4	67	80	
306	46.4327	Bb2	46	59	319	25.375	Bb2	46	80	
307	46.6603	G#4	68	69	320	25.5	G#4	68	80	
308	46.6656	B2	47	55	321	25.5	B2	47	80	
309	46.8847	Eb5	75	75	322	25.625	Eb5	75	80	
310	47.1186	C#5	73	61	323	25.75	C#5	73	80	
311	47.1272	Bb4	70	60	324	25.75	Bb4	70	80	
312	47.1421	C#3	49	48	325	25.75	C#3	49	80	
313	47.343	B4	71	63	326	25.875	B4	71	80	
314	47.5695	Bb4	70	60	327	26	Bb4	70	80	
315	47.5994	G4	67	49	328	26	G4	67	80	
316	47.6154	Eb3	51	42	329	26	Eb3	51	80	
317	48.0513	Eb4	63	60	330	26.25	Eb4	63	80	
318	48.2511	E4	64	57	331	26.375	E4	64	80	
319	48.5	B4	71	73	332	26.5	B4	71	80	
320	48.5086	Eb4	63	51	334	26.5	Eb4	63	80	
321	48.5396	G#4	68	45	333	26.5	G#4	68	80	
322	48.7137	C#4	61	69	335	26.625	C#4	61	80	
323	48.9456	B3	59	55	338	26.75	B3	59	80	
324	48.9477	C#5	73	74	336	26.75	C#5	73	80	
325	48.9616	Bb4	70	63	337	26.75	Bb4	70	80	
326	48.9637	C#3	49	50	339	26.75	C#3	49	80	
327	49.1325	Bb3	58	62	340	26.875	Bb3	58	80	
328	49.3857	Eb5	75	69	341	27	Eb5	75	80	
329	49.3921	G#3	56	46	343	27	G#3	56	80	
330	49.3964	B4	71	46	342	27	B4	71	80	
331	49.4082	B2	47	50	344	27	B2	47	80	
332	49.6197	Bb4	70	53	345	27.125	Bb4	70	80	
333	49.8302	G#2	44	63	347	27.25	G#2	44	80	
334	49.8494	B4	71	45	346	27.25	B4	71	80	
335	50.0599	C#5	73	65	348	27.375	C#5	73	80	
336	50.2939	Bb2	46	74	350	27.5	Bb2	46	80	
337	50.2992	B4	71	66	349	27.5	B4	71	80	
338	50.5	Bb4	70	64	351	27.625	Bb4	70	80	
339	50.733	G#4	68	64	352	27.75	G#4	68	80	
340	50.7351	B2	47	70	353	27.75	B2	47	80	
341	50.968	F#4	66	61	354	27.875	F#4	66	80	
342	51.2084	F4	65	62	355	28	F4	65	80	
343	51.2276	C#3	49	52	356	28	C#3	49	80	
344	51.6411	G#4	68	57	357	28.25	G#4	68	80	
345	51.6592	C#4	61	42	358	28.25	C#4	61	80	
346	51.8569	Eb4	63	63	359	28.375	Eb4	63	80	
347	52.0834	Bb4	70	74	360	28.5	Bb4	70	80	
348	52.0951	F#4	66	59	361	28.5	F#4	66	80	
349	52.2981	B3	59	67	363	28.625	B3	59	80	
350	52.5054	B4	71	78	364	28.75	B4	71	80	
351	52.5193	G#4	68	70	365	28.75	G#4	68	80	
352	52.5214	B2	47	52	367	28.75	B2	47	80	
353	52.5225	Bb3	58	57	366	28.75	Bb3	58	80	
354	52.7362	G#3	56	55	368	28.875	G#3	56	80	
355	52.9733	C#5	73	78	369	29	C#5	73	80	
356	52.9926	Bb4	70	66	370	29	Bb4	70	80	
357	53.0022	F#3	54	58	371	29	F#3	54	80	
358	53.0139	Bb2	46	54	372	29	Bb2	46	80	
359	53.1849	E3	52	54	373	29.125	E3	52	80	
360	53.4007	Bb4	70	83	374	29.25	Bb4	70	80	
361	53.4242	C#4	61	63	375	29.25	C#4	61	80	
362	53.4349	F#3	54	62	376	29.25	F#3	54	80	
363	53.6144	G#3	56	65	377	29.375	G#3	56	80	
364	53.8248	B4	71	77	378	29.5	B4	71	80	
365	53.8387	Eb4	63	68	379	29.5	Eb4	63	80	
366	53.8419	F#3	54	65	380	29.5	F#3	54	80	
367	54.0631	E3	52	67	381	29.625	E3	52	80	
368	54.2693	C#5	73	84	382	29.75	C#5	73	80	
369	54.2736	E4	64	73	383	29.75	E4	64	80	
370	54.2885	Eb3	51	68	384	29.75	Eb3	51	80	
371	54.4926	C#3	49	65	385	29.875	C#3	49	80	
372	54.7308	Eb5	75	90	386	30	Eb5	75	80	
373	54.734	B2	47	62	388	30	B2	47	80	
374	54.7554	F#4	66	63	387	30	F#4	66	80	
